temple_name,address,prefecture,latitude,longitude,maps_url,regions
Gion Fujitora,"1 Chome-231-1 Miyagawasuji, Higashiyama Ward, Kyoto, 605-0801, Japan",Kyoto,35.0022835,135.7718395,http://maps.google.com/?cid=6994174214472132890,Kyoto
Gion Tsujiri,"573-3 Gionmachi Minamigawa, Higashiyama Ward, Kyoto, 605-0074, Japan",Kyoto,35.003665,135.774477,http://maps.google.com/?cid=7158186116244179380,Kyoto
Gozanoishi jinja Shrine,"Japan, 〒014-0602 Akita, Semboku, Nishikicho Hinokinai, Ainaigata−１",Akita,39.7516029,140.6505312,http://maps.google.com/?cid=3612675731257849396,Akita
Greenarium Awajishima,"1550-10 Nojimatokiwa, Awaji, Hyogo 656-1726, Japan",Hyogo,34.5725975,134.9775695,http://maps.google.com/?cid=5776931020978818605,Hyogo
Gyōza Masashi Miyajima shop,"4 Chome-3-1 Babadori, Utsunomiya, Tochigi 320-0026, Japan",Tochigi,36.5616357,139.88771,http://maps.google.com/?cid=3112210476357471515,Tochigi
Gōtokuji Temple,"2 Chome-24-7 Gotokuji, Setagaya City, Tokyo 154-0021, Japan",Tokyo,35.6488124,139.647481,http://maps.google.com/?cid=482142090738683052,Tokyo
Hakone Mototsumiya Shrine,"Japan, 〒250-0522 Kanagawa, Ashigarashimo District, Hakone, Motohakone, ８０−1",Kanagawa,35.224773,139.0252585,http://maps.google.com/?cid=7306850222300097029,Kanagawa
Hakusan Shrine,"1-1 Ichibanboridoricho, Chuo Ward, Niigata, 951-8132, Japan",Chiba,37.915499,139.0377924,http://maps.google.com/?cid=9895635935694054175,Chiba
Hakuunan,"Nishiura-30 Gokasho, Uji, Kyoto 611-0011, Japan",Kyoto,34.9135728,135.8049377,http://maps.google.com/?cid=17530861833572780949,Kyoto
Hamamatsu Flower Park,"Japan, 〒431-1209 Shizuoka, Hamamatsu, Chuo Ward, Kanzanjicho, 195番地",Shizuoka,34.7625218,137.6332373,http://maps.google.com/?cid=8651529417648362035,Shizuoka
Hanakujira honten,"Japan, 〒553-0003 Osaka, Fukushima Ward, Fukushima, 2 Chome−8−2 1階",Fukushima,34.6945818,135.4870692,http://maps.google.com/?cid=15167442547859677971,Fukushima
Hanamaruken Hozenji,"1 Chome-2-1 Namba, Chuo Ward, Osaka, 542-0076, Japan",Osaka,34.6679045,135.5030584,http://maps.google.com/?cid=12134182644213953393,Osaka
Harajiri Falls,"410 Ogatamachi Harajiri, Bungoono, Oita 879-6631, Japan",Oita,32.9644163,131.4514096,http://maps.google.com/?cid=17483227653104827847,Oita
Hasedera,"3 Chome-11-2 Hase, Kamakura, Kanagawa 248-0016, Japan",Kanagawa,35.3124645,139.5330634,http://maps.google.com/?cid=6335264300188806609,Kanagawa
Hashiguiiwa Rocks,"Kujinokawa, Kushimoto, Higashimuro District, Wakayama 649-3511, Japan",Wakayama,33.4880617,135.7957474,http://maps.google.com/?cid=7687472413575212073,Wakayama
Hasshoukan,"Ishizaka-29 Hirojicho, Showa Ward, Nagoya, Aichi 466-0834, Japan",Aichi,35.1376,136.9618104,http://maps.google.com/?cid=7687911512594591903,Aichi
Hatazen,"Japan, 〒030-0803 Aomori, Yasukata, 2 Chome−17−15 Lions Mansion Shinmachi-Dōri, 1F",Aomori,40.826454,140.7444595,http://maps.google.com/?cid=5764350305986731713,Aomori
